Прибор: ;РОСА К-2 (01); ; Интервал: ;2023-02-09 00:00:00; / ;2023-03-09 00:00:00;
Date;weather_temp;weather_pressure;weather_humidity;soil_soilT;soil_soilH;light_lux;light_blink;color_tempCT;color_redC;color_lux;color_ir;color_greenC;color_clearC;color_blueC;
2023-02-21 17:07:06;21.95;732.03;37.83;-6.69;17590;0;0;5260.95;8071;763.57;877;8572;24840;8198;
2023-02-21 17:08:04;21.93;732.05;37.74;-7.06;17595;0;0;5272.72;7915;752.84;757;8449;24428;8064;
2023-02-21 17:09:01;21.87;732.07;38;-6.81;17591;0;0;5248.55;7853;746.35;770;8356;24159;7951;
2023-02-21 17:09:59;21.92;732.06;38.07;-6.94;17601;0;0;5211.7;7833;742.16;810;8283;23970;7855;
2023-02-21 17:10:56;21.89;732.07;38.04;-6.94;17587;0;0;5205.94;7714;733.17;739;8170;23607;7724;
2023-02-21 17:11:54;21.88;732.07;38.14;-7.31;17604;0;0;5192.99;7615;724.94;700;8063;23276;7599;
2023-02-21 17:12:51;21.9;732.11;38.23;-7.13;17599;0;0;5175.16;7521;716.26;694;7950;22940;7470;
2023-02-21 17:13:48;21.88;732.1;37.99;-7.25;17588;0;0;5157.43;7433;708.18;676;7844;22624;7348;
2023-02-21 17:14:46;21.87;732.11;37.93;-7.44;17591;0;0;5143.89;7339;700.34;643;7742;22310;7229;
2023-02-21 17:15:43;21.87;732.11;38.09;-7.31;17591;0;0;5123.91;7265;693.66;623;7650;22032;7118;
2023-02-21 17:16:41;21.85;732.12;37.87;-7.44;17553;0;0;5107.05;7178;685.82;598;7548;21726;7001;
2023-02-21 17:17:38;21.79;732.14;38.09;-7.5;17601;0;0;5094.73;7063;676.36;565;7429;21357;6866;
2023-02-21 17:18:36;21.8;732.15;38.28;-7.44;17602;0;0;5070.35;6999;670.13;552;7341;21099;6759;
2023-02-21 17:19:34;21.79;732.15;38.08;-7.44;17587;0;0;5050.14;6920;663.22;529;7247;20813;6646;
2023-02-21 17:20:32;21.75;732.18;38.24;-7.75;17593;0;0;5035.13;6822;654.79;498;7140;20487;6525;
2023-02-21 17:21:29;21.71;732.2;38.43;-7.56;17606;0;0;5016.72;6740;648.09;455;7049;20203;6414;
2023-02-21 17:22:27;21.69;732.21;38.5;-7.56;17597;0;0;4993.46;6664;641.1;446;6954;19919;6301;
2023-02-21 17:23:24;21.69;732.23;38.6;-8.06;17591;0;0;4971.54;6592;634.81;426;6867;19653;6195;
2023-02-21 17:24:22;21.65;732.26;38.8;-8.06;17587;0;0;4947.82;6531;629.52;400;6790;19418;6097;
2023-02-21 17:25:19;21.65;732.26;38.78;-8;17599;0;0;4923.93;6463;623.56;378;6706;19161;5993;
2023-02-21 17:26:17;21.65;732.29;38.92;-7.88;17601;0;0;4905.9;6378;616.32;350;6612;18874;5884;
2023-02-21 17:27:14;21.64;732.28;38.95;-7.88;17597;0;0;4881.44;6307;610.16;329;6526;18611;5778;
